Site Name,Address,City,ZIP Code,Siren,Radius,Mounted Height,Land Use Description,Mapped Location
Metro Water Cane Ridge Reservoir,2749 SMITH SPRINGS RD,NASHVILLE,37217,508,14700,50,"METRO OTHER THAN OFC, SCHOOL,HOSP, OR PARK",POINT (-86.634805 36.022074)
Fire Station #7,638 DAVIDSON RD,NASHVILLE,37205,508,14700,50,FIRE STATION,POINT (-86.886749 36.11808)
Donelson Middle School,110 STEWARTS FERRY PIKE,NASHVILLE,37214,Eclipse 8,4400,50,CLUB/UNION HALL/LODGE,POINT (-86.656735 36.165564)
McFerrin Park,301 BERRY ST,NASHVILLE,37207,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.767681 36.181695)
McGavock Elementary,275 MCGAVOCK PIKE,NASHVILLE,37214,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.680006 36.160071)
Eastland Park,0 STRAIGHTWAY AVE,NASHVILLE,37206,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.739036 36.192567)
Antioch Community Center,5023 BLUE HOLE RD,ANTIOCH,37013,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.672662 36.056222)
Hunters Lane High School,1150 HUNTERS LN,NASHVILLE,37207,508,14700,50,SCHOOL OR COLLEGE,POINT (-86.751181 36.278281)
Issac Litton Middle School,4500 GALLATIN PIKE,NASHVILLE,37216,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.724963 36.228168)
New Dodson Elementary,4401 CHANDLER RD,HERMITAGE,37076,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.602812 36.191794)
Wharton Middle School,1625 DR D B TODD JR BLVD,NASHVILLE,37208,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.809529 36.175848)
Ezell Road Park,5135 HARDING PL,NASHVILLE,37211,Eclipse 8,4400,50,NURSING HOME,POINT (-86.686024 36.090942)
Glendale Middle School,800 THOMPSON AVE,NASHVILLE,37204,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.78425 36.095293)
Neely's Bend Elementary,1300 NEELYS BEND RD,MADISON,37115,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.673193 36.240332)
Thompson Lane & Mill Creek,431 E THOMPSON LN,NASHVILLE,37211,Eclipse 8,4400,50,VACANT COMMERCIAL LAND,POINT (-86.719329 36.116939)
Hartman Park,2801 TUCKER RD,NASHVILLE,37218,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.824657 36.210374)
Forest Hills - NES Substation,1958 OLD HICKORY BLVD,BRENTWOOD,37027,Eclipse 8,4400,50,VACANT RESIDENTIAL LAND,POINT (-86.860204 36.047697)
